street_name,Latitude,Longitude
HOUGANG AVE 4,1.3716373,103.8867653
HOUGANG AVE 2,1.3677471,103.8867584
LORONG AH SOO,1.3520481000000002,103.88458670000001
HOUGANG ST 92,1.3731064,103.8808592
HOUGANG ST 52,1.3758376,103.88986779999999
HOUGANG AVE 10,1.3677471,103.8867584
HOUGANG ST 51,1.3805199,103.8874613
UPPER SERANGOON RD,1.3314606000000002,103.86919520000001
HOUGANG CENTRAL,1.3710492,103.89435758379814
HOUGANG ST 91,1.3771495,103.8842627
BUANGKOK LINK,1.3843105,103.8834426
HOUGANG ST 31,1.3635317,103.88953470000001
FERNVALE RD,1.3890688,103.8755082
JALAN KAYU,1.3911474,103.8714593
FERNVALE LINK,1.3956847,103.87907290000001
RIVERVALE CRES,1.3926468,103.906435
PUNGGOL FIELD WALK,1.3918116000000003,103.91250840000001
COMMONWEALTH CL,1.3043615,103.8010068
COMMONWEALTH DRIVE,1.3030358999999998,103.7971152
GHIM MOH LINK,1.3084725,103.78666059999999
DOVER CRES,1.3073442,103.7826859
GHIM MOH RD,1.3116617,103.78900440000001
HOLLAND AVE,1.307836,103.794395
HOLLAND CL,1.3083051,103.7947531
HOLLAND DRIVE,1.3083608999999998,103.7932789
MEI LING ST,1.2941108000000001,103.8039865
QUEEN'S CL,1.2919296,103.80023299999999
STIRLING RD,1.2912402,103.8018791
STRATHMORE AVE,1.29340475,103.81161779072569
QUEENSWAY,1.3090597,103.8031155
TANGLIN HALT RD,1.3003118,103.7979386
DOVER CL EAST,1.3036533000000001,103.78652779999999
ADMIRALTY DRIVE,1.4503151,103.8162214
ADMIRALTY LINK,1.4549836,103.8174025
CANBERRA LINK,1.4480126,103.8265078
CANBERRA RD,1.4453147,103.82346770000001
MONTREAL DRIVE,1.4529041999999999,103.8241857
SEMBAWANG CL,1.4485772,103.8165649
SEMBAWANG CRES,1.4455445,103.8151896
SEMBAWANG DRIVE,1.4514938,103.8173555
SEMBAWANG VISTA,1.4471133999999999,103.8205374
WELLINGTON CIRCLE,1.4521765,103.82056920000001
TAO CHING RD,1.3327685,103.7249411
JURONG WEST ST 72,1.3444924999999999,103.7001134
YUNG HO RD,1.3264978,103.7243682
JURONG WEST ST 24,1.3515158,103.7047402
DORSET RD,1.3154294,103.8529768
OWEN RD,1.3137277,103.8530366
NTH BRIDGE RD,1.298885,103.85591140000001
TOWNER RD,1.3185904,103.860421
SENGKANG WEST WAY,1.3950403,103.8757375
ANCHORVALE DRIVE,1.3895002,103.89218829999999
ANCHORVALE LANE,1.3918017,103.88648859999999
ANCHORVALE LINK,1.3969096,103.8909003
ANCHORVALE RD,1.3972263999999999,103.8878453
COMPASSVALE BOW,1.3808367,103.8970145
COMPASSVALE CRES,1.3974063,103.8977579
COMPASSVALE DRIVE,1.3889089,103.894186
COMPASSVALE LANE,1.3853802,103.8975441
COMPASSVALE LINK,1.3853167,103.8955063
COMPASSVALE RD,1.3923659,103.8980833
COMPASSVALE ST,1.394976,103.89873370000001
FERNVALE LANE,1.39002,103.8735941
RIVERVALE DRIVE,1.3814885000000001,103.901675
RIVERVALE ST,1.388765,103.9021185
RIVERVALE WALK,1.3840515,103.90006059999999
SENGKANG CENTRAL,1.3799629,103.8927994
SENGKANG EAST WAY,1.3947093000000002,103.8865747
SENGKANG WEST AVE,1.3921842,103.8799967
SERANGOON NORTH AVE 4,1.3771354,103.8755801
COMPASSVALE WALK,1.390011,103.899987
SENGKANG EAST RD,1.3823267,103.88878079999999
LORONG LEW LIAN,1.3500117,103.87856690000001
SERANGOON AVE 2,1.3510148000000002,103.8708178
SERANGOON AVE 3,1.352031,103.8701541
SERANGOON AVE 4,1.3557436999999999,103.8713719
SERANGOON NORTH AVE 1,1.3697466999999999,103.8716346
SERANGOON NORTH AVE 2,1.3690381999999999,103.8752516
SERANGOON AVE 1,1.3475734,103.8748122
SERANGOON CENTRAL,1.3535142,103.87161635184229
SERANGOON CENTRAL DRIVE,1.3546333000000002,103.8705689
